timestamp,center_x,center_y
2026-03-04 15:24:36.798,502.88,337.16
2026-03-04 15:24:36.890,466.76,343.58
2026-03-04 15:24:36.980,440.44,340.88
2026-03-04 15:24:37.076,454.95,328.05
2026-03-04 15:24:37.165,474.19,326.03
2026-03-04 15:24:37.254,479.92,323.33
2026-03-04 15:24:37.358,477.90,319.61
2026-03-04 15:24:37.455,448.20,322.65
2026-03-04 15:24:37.552,414.11,325.01
2026-03-04 15:24:37.646,379.35,313.20
2026-03-04 15:24:37.738,363.15,303.75
2026-03-04 15:24:37.830,339.52,309.83
2026-03-04 15:24:37.918,367.54,306.11
2026-03-04 15:24:38.007,369.56,304.09
2026-03-04 15:24:38.106,379.35,299.03
2026-03-04 15:24:38.196,353.03,308.48
2026-03-04 15:24:38.287,328.22,301.05
2026-03-04 15:24:38.379,300.71,301.73
2026-03-04 15:24:38.466,290.92,304.76
2026-03-04 15:24:38.557,293.62,314.55
2026-03-04 15:24:38.646,298.01,327.38
2026-03-04 15:24:38.742,316.58,345.94
2026-03-04 15:24:38.833,305.27,351.68
2026-03-04 15:24:38.922,330.41,351.68
2026-03-04 15:24:39.010,328.39,340.20
2026-03-04 15:24:39.107,380.36,337.50
2026-03-04 15:24:39.196,436.73,318.60
2026-03-04 15:24:39.285,471.49,333.79
2026-03-04 15:24:39.375,479.92,330.75
2026-03-04 15:24:39.464,480.60,323.33
2026-03-04 15:24:39.554,495.45,307.80
2026-03-04 15:24:39.645,445.16,293.62
2026-03-04 15:24:39.734,427.95,258.19
2026-03-04 15:24:39.824,414.11,240.64
2026-03-04 15:24:39.914,468.45,230.85
2026-03-04 15:24:40.000,411.08,180.90
2026-03-04 15:24:40.093,439.43,201.49
2026-03-04 15:24:40.183,430.65,205.54
2026-03-04 15:24:40.276,458.66,267.30
2026-03-04 15:24:40.365,451.24,298.35
2026-03-04 15:24:40.456,463.73,367.20
2026-03-04 15:24:40.544,435.38,361.12
2026-03-04 15:24:40.635,432.68,384.75
2026-03-04 15:24:40.726,414.11,374.62
2026-03-04 15:24:40.814,405.00,392.18
2026-03-04 15:24:40.906,401.62,407.03
2026-03-04 15:24:40.996,419.18,423.90
2026-03-04 15:24:41.092,434.36,421.54
2026-03-04 15:24:41.190,444.15,411.75
2026-03-04 15:24:41.282,492.75,369.23
2026-03-04 15:24:41.371,523.46,351.68
2026-03-04 15:24:41.463,568.35,334.80
2026-03-04 15:24:41.550,602.78,342.23
2026-03-04 15:24:41.638,599.06,338.17
2026-03-04 15:24:41.744,600.41,343.58
2026-03-04 15:24:41.929,546.75,321.30
2026-03-04 15:24:42.110,589.95,342.90
2026-03-04 15:24:42.289,660.15,331.43
2026-03-04 15:24:42.400,620.33,310.50
2026-03-04 15:24:42.665,411.75,269.33
2026-03-04 15:24:42.752,407.36,267.98
2026-03-04 15:24:42.844,391.84,270.34
2026-03-04 15:24:42.932,417.83,301.73
2026-03-04 15:24:43.032,407.70,313.88
2026-03-04 15:24:43.130,73.79,575.10
2026-03-04 15:24:43.222,349.65,369.23
2026-03-04 15:24:43.311,314.21,353.36
2026-03-04 15:24:43.406,470.48,178.54
2026-03-04 15:24:43.496,442.46,167.74
2026-03-04 15:24:43.592,449.89,151.54
2026-03-04 15:24:43.772,247.05,374.62
2026-03-04 15:24:43.859,151.37,482.96
2026-03-04 15:24:43.950,136.27,468.11
2026-03-04 15:24:44.138,300.71,322.31
2026-03-04 15:24:44.227,421.88,243.68
2026-03-04 15:24:44.315,433.69,241.99
2026-03-04 15:24:44.403,429.30,258.19
2026-03-04 15:24:44.492,399.60,332.44
2026-03-04 15:24:44.583,406.69,381.71
2026-03-04 15:24:44.671,108.59,542.70
2026-03-04 15:24:44.760,389.81,392.85
2026-03-04 15:24:44.848,393.53,345.60
2026-03-04 15:24:45.023,600.08,195.75
2026-03-04 15:24:45.115,623.03,187.99
2026-03-04 15:24:45.205,598.39,178.20
2026-03-04 15:24:45.387,420.86,325.01
